SKU,PRODUIT,DEMANDE,STOCK_DISPONIBLE,STOCK_SECURITE,BESOIN_NET,QUANTITE_COMMANDEE,TAILLE_PACK,PRIX_UNITAIRE,TOTAL
SKU000019,Music Cleaning Gold,45,50,10,5,6,6,1.94,11.64
SKU000054,Box Beverages Pro,43,50,10,3,24,12,15.06,361.44
SKU000107,From Beverages Pro,50,50,10,10,10,1,2.78,27.80
SKU000125,Prove Grocery Organic,49,50,10,9,24,6,10.95,262.80
SKU000172,Main Cleaning Organic,45,50,10,5,6,6,4.15,24.90
SKU000193,Turn Dairy Organic,57,50,10,17,24,12,8.25,198.00
SKU000254,Risk Bakery Pro,46,50,10,6,24,24,11.57,277.68
SKU000261,Adult Personal Care Gold,53,50,10,13,13,1,12.51,162.63
SKU000306,Listen Beverages Gold,44,50,10,4,6,6,12.95,77.70
SKU000308,Red Bakery Organic,41,50,10,1,12,12,1.11,13.32
SKU000367,Key Personal Care Basic,49,50,10,9,12,6,15.76,189.12
SKU000379,Animal Grocery Organic,55,50,10,15,48,1,18.01,864.48
SKU000404,Offer Snacks Organic,41,50,10,1,10,6,13.41,134.10
SKU000421,Worry Dairy Organic,45,50,10,5,24,24,17.31,415.44
SKU000458,Front Grocery Basic,59,50,10,19,24,12,15.09,362.16
