SKU,PRODUIT,DEMANDE,STOCK_DISPONIBLE,STOCK_SECURITE,BESOIN_NET,QUANTITE_COMMANDEE,TAILLE_PACK,PRIX_UNITAIRE,TOTAL
SKU000000,Politics Beverages Organic,46,50,10,6,12,12,19.04,228.48
SKU000102,Person Frozen Gold,50,50,10,10,48,6,2.28,109.44
SKU000134,High Personal Care Basic,44,50,10,4,6,6,5.32,31.92
SKU000164,Wrong Beverages Gold,49,50,10,9,12,12,7.58,90.96
SKU000189,Approach Grocery Pro,67,50,10,27,36,12,10.90,392.40
SKU000247,Thought Bakery Basic,43,50,10,3,12,12,16.47,197.64
SKU000297,They Beverages Pro,47,50,10,7,10,1,14.31,143.10
SKU000326,Present Cleaning Gold,41,50,10,1,24,12,17.48,419.52
SKU000335,Red Beverages Pro,41,50,10,1,12,12,9.52,114.24
SKU000369,Western Personal Care Gold,53,50,10,13,24,12,15.36,368.64
SKU000409,Between Beverages Gold,50,50,10,10,48,24,3.47,166.56
