SKU,PRODUIT,DEMANDE,STOCK_DISPONIBLE,STOCK_SECURITE,BESOIN_NET,QUANTITE_COMMANDEE,TAILLE_PACK,PRIX_UNITAIRE,TOTAL
SKU000062,Country Snacks Organic,59,50,10,19,19,1,17.13,325.47
SKU000065,Really Grocery Basic,50,50,10,10,10,1,19.81,198.10
SKU000138,Better Grocery Organic,42,50,10,2,12,12,11.44,137.28
SKU000175,Why Grocery Basic,49,50,10,9,12,6,1.51,18.12
SKU000224,Officer Beverages Organic,43,50,10,3,3,1,17.98,53.94
SKU000233,City Snacks Basic,63,50,10,23,23,1,10.75,247.25
SKU000234,Good Dairy Organic,51,50,10,11,11,1,18.33,201.63
SKU000242,Team Grocery Organic,58,50,10,18,48,12,9.78,469.44
SKU000282,Season Beverages Gold,61,50,10,21,24,12,5.57,133.68
SKU000288,Yeah Grocery Organic,44,50,10,4,12,12,13.76,165.12
SKU000293,Plant Grocery Organic,41,50,10,1,12,12,5.57,66.84
SKU000324,Many Bakery Organic,51,50,10,11,12,12,2.54,30.48
SKU000341,Heavy Cleaning Organic,42,50,10,2,48,12,3.07,147.36
SKU000362,Career Frozen Basic,44,50,10,4,10,6,13.82,138.20
SKU000439,Early Snacks Pro,55,50,10,15,15,1,10.01,150.15
SKU000443,Fish Personal Care Basic,48,50,10,8,12,12,19.13,229.56
