SKU,PRODUIT,DEMANDE,STOCK_DISPONIBLE,STOCK_SECURITE,BESOIN_NET,QUANTITE_COMMANDEE,TAILLE_PACK,PRIX_UNITAIRE,TOTAL
SKU000028,Hot Frozen Organic,41,50,10,1,24,12,16.26,390.24
SKU000035,Whole Snacks Basic,45,50,10,5,6,6,5.41,32.46
SKU000091,Claim Frozen Gold,41,50,10,1,48,24,8.03,385.44
SKU000113,Size Beverages Pro,47,50,10,7,7,1,18.17,127.19
SKU000197,Decade Grocery Pro,41,50,10,1,10,1,18.97,189.70
SKU000243,Rest Cleaning Organic,54,50,10,14,14,1,4.69,65.66
SKU000250,Card Bakery Pro,55,50,10,15,24,12,11.07,265.68
SKU000302,Occur Beverages Gold,45,50,10,5,6,6,19.94,119.64
SKU000312,Production Frozen Organic,55,50,10,15,24,12,12.52,300.48
SKU000319,Career Bakery Basic,43,50,10,3,5,1,19.74,98.70
SKU000322,Attack Dairy Gold,42,50,10,2,6,6,2.03,12.18
SKU000371,Serve Beverages Pro,46,50,10,6,10,6,7.65,76.50
SKU000386,Agreement Snacks Basic,43,50,10,3,12,12,9.93,119.16
