SKU,PRODUIT,DEMANDE,STOCK_DISPONIBLE,STOCK_SECURITE,BESOIN_NET,QUANTITE_COMMANDEE,TAILLE_PACK,PRIX_UNITAIRE,TOTAL
SKU000075,Course Dairy Gold,48,50,10,8,12,6,10.86,130.32
SKU000083,Less Dairy Organic,47,50,10,7,7,1,2.76,19.32
SKU000099,Second Personal Care Organic,59,50,10,19,24,12,8.87,212.88
SKU000154,Citizen Dairy Basic,52,50,10,12,12,12,5.90,70.80
SKU000159,Plan Grocery Gold,47,50,10,7,7,1,5.23,36.61
SKU000174,Include Beverages Basic,47,50,10,7,7,1,11.83,82.81
SKU000258,Fire Bakery Gold,51,50,10,11,11,1,2.85,31.35
SKU000332,Cover Grocery Organic,42,50,10,2,10,6,10.21,102.10
SKU000357,Pretty Grocery Gold,63,50,10,23,24,6,17.42,418.08
SKU000381,Old Grocery Gold,41,50,10,1,5,1,5.51,27.55
SKU000394,Fire Dairy Organic,41,50,10,1,12,12,13.02,156.24
SKU000451,Plan Beverages Pro,47,50,10,7,12,12,15.61,187.32
SKU000495,Forward Bakery Pro,53,50,10,13,18,6,16.15,290.70
