SKU,PRODUIT,DEMANDE,STOCK_DISPONIBLE,STOCK_SECURITE,BESOIN_NET,QUANTITE_COMMANDEE,TAILLE_PACK,PRIX_UNITAIRE,TOTAL
SKU000006,Prove Grocery Pro,54,50,10,14,14,1,15.81,221.34
SKU000018,Kind Dairy Pro,44,50,10,4,12,12,16.40,196.80
SKU000143,Son Beverages Gold,53,50,10,13,48,12,12.63,606.24
SKU000171,Cultural Frozen Pro,49,50,10,9,12,6,11.36,136.32
SKU000229,Dinner Beverages Gold,57,50,10,17,24,12,18.99,455.76
SKU000237,Letter Personal Care Gold,48,50,10,8,12,12,12.15,145.80
SKU000267,Road Beverages Organic,62,50,10,22,22,1,6.10,134.20
SKU000295,Fund Snacks Pro,42,50,10,2,48,12,7.17,344.16
SKU000300,Dream Cleaning Gold,45,50,10,5,5,1,0.98,4.90
SKU000387,President Dairy Pro,42,50,10,2,24,24,12.85,308.40
