SKU,PRODUIT,DEMANDE,STOCK_DISPONIBLE,STOCK_SECURITE,BESOIN_NET,QUANTITE_COMMANDEE,TAILLE_PACK,PRIX_UNITAIRE,TOTAL
SKU000072,Color Beverages Pro,52,50,10,12,12,1,12.02,144.24
SKU000079,Yet Beverages Pro,50,50,10,10,10,1,3.88,38.80
SKU000085,Whether Grocery Basic,41,50,10,1,5,1,9.73,48.65
SKU000088,Difficult Grocery Pro,45,50,10,5,10,1,3.68,36.80
SKU000096,Center Cleaning Gold,59,50,10,19,19,1,16.17,307.23
SKU000259,Do Beverages Pro,41,50,10,1,5,1,14.63,73.15
SKU000303,Red Bakery Organic,47,50,10,7,12,12,16.00,192.00
SKU000372,Enjoy Beverages Basic,50,50,10,10,10,1,9.25,92.50
SKU000455,Already Bakery Gold,47,50,10,7,12,12,2.87,34.44
SKU000481,Appear Cleaning Gold,48,50,10,8,12,6,2.31,27.72
