SKU,PRODUIT,DEMANDE,STOCK_DISPONIBLE,STOCK_SECURITE,BESOIN_NET,QUANTITE_COMMANDEE,TAILLE_PACK,PRIX_UNITAIRE,TOTAL
SKU000005,Adult Grocery Pro,41,50,10,1,5,1,3.22,16.10
SKU000084,Event Personal Care Pro,45,50,10,5,6,6,14.22,85.32
SKU000106,Song Dairy Gold,47,50,10,7,24,6,11.22,269.28
SKU000132,Top Dairy Pro,48,50,10,8,48,12,17.36,833.28
SKU000144,Least Dairy Gold,49,50,10,9,12,6,18.57,222.84
SKU000200,Off Cleaning Organic,49,50,10,9,12,6,3.47,41.64
SKU000225,Lose Bakery Gold,46,50,10,6,10,1,1.02,10.20
SKU000235,Half Beverages Organic,49,50,10,9,24,12,11.31,271.44
SKU000352,After Grocery Organic,56,50,10,16,16,1,17.43,278.88
SKU000400,Republican Bakery Basic,46,50,10,6,6,1,6.81,40.86
SKU000417,Church Dairy Basic,44,50,10,4,24,6,16.44,394.56
