SKU,PRODUIT,DEMANDE,STOCK_DISPONIBLE,STOCK_SECURITE,BESOIN_NET,QUANTITE_COMMANDEE,TAILLE_PACK,PRIX_UNITAIRE,TOTAL
SKU000004,Cold Beverages Gold,45,50,10,5,6,6,10.73,64.38
SKU000059,By Beverages Pro,45,50,10,5,12,12,0.97,11.64
SKU000101,Century Beverages Basic,41,50,10,1,6,6,17.96,107.76
SKU000111,Group Personal Care Gold,44,50,10,4,24,24,18.97,455.28
SKU000119,South Dairy Gold,43,50,10,3,24,24,11.30,271.20
SKU000177,Store Beverages Basic,61,50,10,21,24,12,13.79,330.96
SKU000180,Eight Frozen Pro,53,50,10,13,13,1,4.03,52.39
SKU000290,Indicate Personal Care Basic,47,50,10,7,12,6,3.01,36.12
SKU000449,Mention Cleaning Organic,43,50,10,3,3,1,1.91,5.73
SKU000456,Window Grocery Pro,49,50,10,9,48,1,10.84,520.32
