SKU,PRODUIT,DEMANDE,STOCK_DISPONIBLE,STOCK_SECURITE,BESOIN_NET,QUANTITE_COMMANDEE,TAILLE_PACK,PRIX_UNITAIRE,TOTAL
SKU000167,Ten Bakery Gold,42,50,10,2,24,1,6.06,145.44
SKU000183,Likely Grocery Organic,46,50,10,6,24,6,10.70,256.80
SKU000217,Federal Personal Care Pro,59,50,10,19,24,6,18.95,454.80
SKU000256,Language Frozen Pro,49,50,10,9,24,12,9.75,234.00
SKU000280,Themselves Personal Care Pro,41,50,10,1,24,12,19.14,459.36
SKU000359,Think Beverages Gold,42,50,10,2,10,1,14.24,142.40
SKU000461,Respond Frozen Pro,49,50,10,9,9,1,5.19,46.71
SKU000466,Strong Snacks Pro,47,50,10,7,7,1,18.78,131.46
SKU000469,Three Grocery Basic,48,50,10,8,10,1,10.41,104.10
SKU000486,Participant Cleaning Basic,48,50,10,8,12,6,10.59,127.08
